,FYGT10,fyff_3m,fygt2_3m,fygt10_3m,Baa,EXRate,Wilsh,BAA_TB10,Auto_TB2,Mortc_tb10,BankCred,ComPapOut,Compapis_M24,TED_SPR,LIBOR_SPR,MZM,cor_e_t,Idio_bank,ppi_561_ma24,VIX,Fpers_TB,FRBSLO_1,FRBSLO_2,FRBSLO_3,SLGOV_Liab,NonFed_Liab,Priv_nfdebt,Fin_Liab,ABS_CC,ABS_mort1,ABS_mort2,BD_Leverage
1990.5,0.58,0.49,0.95,1.02,10.3,1.16,0.09,1.51,3.49,1.58,42.3,14.961,0.0,0.5299,8.5699,32.8,0.0128048577089,0.00144040725644,0.888263439347,19.52,6.84,56.9,52.6,7.1,10.3,104.866,94.566,0.246,0.0,4.698,0.0,-0.0926230403216
1990.75,-0.32,0.53,0.54,0.85,10.2,-2.35,0.63,1.73,4.52,1.57,40.5,3.742,0.0,0.3509,8.22088,19.5,0.0445714423733,0.00181676129547,0.806503120917,21.11,7.36,39.5,33.9,10.2,5.9,93.642,87.742,-26.955,0.0,4.397,0.0,0.377446381667
1991.0,0.25,0.94,0.71,1.55,10.74,-4.07,-1.38,2.02,4.69,1.46,26.3,15.286,0.0,0.7692,8.16916,41.9,0.60865827685,0.00163598729766,1.93495490571,30.04,8.09333333333,48.9,41.0,-1.7,12.4,76.99,64.59,15.574,0.0,7.769,0.0,2.1062956705
1991.25,-0.63,0.69,0.91,1.87,10.45,0.39,1.17,2.36,5.86,1.55,16.3,4.489,0.0,0.9274,7.33736,37.7,0.113201914361,0.00187456618154,1.23890063425,20.91,8.38666666667,36.0,32.0,-14.8,12.3,35.963,23.663,-31.59,0.0,4.401,0.0,-0.708833126518
1991.5,-0.05,0.26,1.3,2.39,9.94,2.77,0.99,1.9,6.19,1.45,31.6,-18.685,0.0,0.3932,6.22321,72.1,0.370996729724,0.00146413877263,0.778072094898,18.24,8.26333333333,15.5,6.9,1.8,15.5,70.516,55.016,4.807,0.0,13.065,0.0,0.833675577767
1991.75,0.23,0.24,1.34,2.69,9.89,1.23,0.39,1.62,5.63,1.31,12.8,-2.279,0.0,0.3886,6.13859,57.4,0.168076876942,0.00147854780109,0.804431381415,15.18,8.73,12.3,8.7,0.0,25.2,26.995,1.795,14.034,0.0,11.949,0.0,1.62934407741
1992.0,-0.74,0.22,0.92,2.54,9.49,-2.66,0.35,1.96,6.32,1.33,31.3,-17.443,0.0,0.3301,5.47011,49.7,0.195441165723,0.00070676826459,0.933583665806,15.48,9.38,9.0,5.2,10.5,38.2,54.73,16.53,-5.315,0.0,12.288,0.0,0.74185458166
1992.25,-0.5,0.23,1.16,3.23,9.13,-2.4,0.68,2.1,5.08,1.4,44.5,3.806,0.0,0.2715,4.18146,91.7,-0.0124199812995,0.000877095044476,0.828532974428,17.4,9.10333333333,5.3,0.0,9.3,-0.3,54.301,54.601,11.691,-9892.306,10.073,0.0,-1.03849605766
1992.5,0.45,-0.02,1.59,3.73,9.21,2.26,0.02,1.73,5.5,1.37,23.8,8.78,0.0,0.3303,4.17031,91.0,0.103422503991,0.00176935038948,0.970257002599,15.53,9.07333333333,0.9,-7.3,18.2,5.4,31.374,25.974,25.455,2.84,9.889,0.0,-0.222885540199
1992.75,-0.64,0.04,1.15,3.63,8.84,-3.28,0.28,2.0,5.58,1.29,2.7,6.093,0.0,0.237,3.51698,59.1,-0.15484267747,0.00186330462787,1.05993150685,13.17,9.79333333333,-1.7,-1.7,21.1,14.0,65.693,51.693,23.472,4.006,15.362,0.0,1.85553197571
1993.0,-0.25,0.24,1.22,3.73,8.84,1.42,0.03,2.25,5.43,1.5,42.6,6.677,0.0,0.5071,3.43715,70.8,0.25921399944,0.00127652516793,1.07731520816,16.15,9.10666666667,4.4,-5.4,16.4,-2.6,59.754,62.354,-20.813,6.737,10.209,0.0,-1.35418526897
1993.25,0.01,0.02,1.39,3.6,8.67,3.31,0.84,2.07,5.82,1.42,16.9,-13.231,0.0,0.2769,3.34688,18.7,0.447635708945,0.00109330902917,0.895908111989,12.42,9.42333333333,2.7,-1.8,14.8,16.3,35.867,19.567,63.967,-0.489,3.656,-9977.858,2.50984938345
1993.5,-0.63,0.09,0.97,3.1,8.14,-2.35,0.02,2.17,5.9,1.5,34.0,-2.699,0.0,0.2966,3.22656,21.5,-0.0215854166577,0.00155709436829,0.979487904937,12.42,9.63666666667,-7.9,-1.8,26.3,19.8,88.365,68.565,-2.879,-0.706,7.924,2.078,3.58096827473
1993.75,-0.16,0.02,1.03,2.77,7.93,0.79,0.44,2.12,5.45,1.4,64.4,1.041,0.0,0.184,3.29403,52.9,0.158225288607,0.00121439775628,0.865641615175,11.73,9.47666666667,-19.5,-11.7,25.9,20.2,102.567,82.367,17.106,4.749,10.16,0.364,0.485007685362
1994.0,-0.48,-0.03,0.85,2.31,7.31,-0.31,0.74,1.98,5.44,1.5,19.5,7.676,0.0,0.2969,3.3869,35.3,0.454497384782,0.00166296584467,0.948428440647,11.46,9.14,-17.8,-8.5,17.2,1.6,91.997,90.397,-16.593,6.624,3.894,4.471,6.61531229551
1994.25,0.42,0.07,1.16,2.77,7.65,2.6,0.44,1.9,3.59,1.31,61.9,11.988,0.0,0.2319,3.27188,35.5,0.283667875731,0.00108961460568,0.765087605451,10.63,8.35333333333,-13.0,-12.3,29.3,-5.0,100.034,105.034,14.841,-2.478,11.717,-0.161,-0.819025101605
1994.5,1.22,-0.12,1.87,3.29,8.52,-0.68,-0.8,1.55,4.19,1.35,38.1,-5.916,0.0,0.3516,4.13158,14.2,0.775201158043,0.00186397772262,0.903863115188,13.77,7.14333333333,-12.2,-8.9,29.1,-18.3,90.288,108.588,31.931,4.597,1.41,1.035,1.88832120703
1994.75,0.33,-0.07,1.8,2.97,8.8,-2.39,0.15,1.5,3.99,1.31,41.8,19.428,0.0,0.3983,4.85826,-7.9,0.63132867514,0.000618247786799,1.24221771965,11.13,7.09666666667,-7.0,-7.0,21.4,-1.6,118.328,119.928,22.667,5.312,1.147,2.392,0.677687348666
1995.0,0.44,-0.19,1.78,2.79,9.2,-1.98,0.54,1.46,3.47,1.19,32.0,15.346,0.0,0.5224,5.6224,-19.4,0.436534187865,0.00102145624567,1.0625,14.56,6.43333333333,-17.4,-17.5,25.0,-20.6,117.724,138.324,-0.664,8.166,0.829,0.51,-10.3659892134
1995.25,0.04,-0.18,1.8,2.07,9.08,3.27,-0.03,1.3,3.7,1.37,49.2,24.283,0.0,0.4374,6.33743,-20.0,0.534068598706,0.00108520179485,1.02687411598,11.96,6.96666666667,-6.9,-5.3,16.1,-15.5,138.729,154.229,54.151,7.216,2.997,-0.275,-0.213933767397
1995.5,-0.72,0.4,0.92,1.41,8.6,-4.83,1.29,1.54,5.2,1.26,78.9,38.574,0.0,0.3961,6.23611,-41.1,0.223026927575,0.000992427817562,1.10803139088,11.75,7.87666666667,-5.9,-6.9,18.5,-14.7,149.924,164.624,22.342,12.97,3.047,0.184,0.983355577653
1995.75,-0.78,0.43,0.36,0.86,8.04,-0.7,1.67,1.76,5.15,1.33,65.0,6.81,0.0,0.3079,5.89788,65.1,0.641335568618,0.00127319390165,0.936348949919,13.49,7.98333333333,-6.1,-1.8,7.0,-13.7,135.479,149.179,24.086,23.353,0.422,0.963,0.0118777492901
